5,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2022 and January-March 2022"
2,"d","West Virginia",15.8,7.4,1.7,1.2,6.0,0.9
2,"d","Wisconsin",7.9,"(Z)","(Z)",6.5,2.0,0.5
2,"d","Wyoming",2.2,-,-,-,1.2,0.8
2,"d","",,,,,,
2,"d","Other States 4/",65.6,58.9,1.0,"(Z)",2.8,"(Z)"
2,"d","",,,,,,
2,"d","United States",36.0,8.8,2.7,7.7,4.8,4.4
2,"c",""
2,"f","-  Represents zero."
2,"f","(Z)  Less than half of the unit shown."
2,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
2,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
2,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
2,"f","4/ Includes data for States not published in this table."
13,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
13,"t","Colony Health Stressors with Five or More Colonies – States and United States: April-June 2022"
13,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
13,"h","","","","","","",""
13,"h","","Varroa","Other pests","","","",""
13,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
13,"h","","","","","","",""
13,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
13,"d","Alabama",36.0,14.3,1.0,6.9,17.9,3.7
13,"d","Arizona",8.4,"(Z)",1.3,-,4.8,"(Z)"
13,"d","Arkansas",20.6,12.7,2.0,9.5,6.4,3.9
13,"d","California",41.1,16.2,4.8,6.6,20.3,3.7
13,"d","Colorado",31.0,-,0.6,"(Z)",26.5,"(Z)"
13,"d","Connecticut",10.9,-,-,-,1.1,-
13,"d","Florida",31.8,15.3,5.7,8.2,12.2,6.3
13,"d","Georgia",35.9,9.0,1.4,6.1,8.3,5.7
13,"d","Idaho",32.6,13.1,5.6,13.7,9.5,3.5
13,"d","",,,,,,
13,"d","Illinois",18.3,7.4,3.2,1.6,7.3,10.6
13,"d","Indiana",28.1,5.0,0.5,4.2,7.2,4.7
13,"d","Iowa",49.3,1.1,1.6,0.9,4.6,5.7
13,"d","Kansas",41.6,1.0,1.7,21.1,23.0,1.9
13,"d","Kentucky",39.9,15.1,10.7,2.4,2.5,18.9
13,"d","Louisiana",31.9,9.9,4.8,4.8,2.4,2.5
13,"d","Maine","(Z)",-,"(Z)",-,"(Z)","(Z)"
13,"d","Maryland",19.9,7.9,2.4,0.8,14.7,1.7
13,"d","Massachusetts",4.7,1.2,1.3,0.5,0.8,0.5
13,"d","Michigan",10.6,"(Z)",3.1,7.1,2.8,"(Z)"
13,"d","",,,,,,
13,"d","Minnesota",4.9,0.7,"(Z)","(Z)",2.6,"(Z)"
13,"d","Mississippi",21.7,21.0,"(Z)",0.7,15.2,5.8
13,"d","Missouri",11.5,3.0,0.8,0.5,2.6,1.6
13,"d","Montana",16.4,-,-,1.7,8.7,-
13,"d","Nebraska",26.4,21.9,0.7,-,0.7,"(Z)"
13,"d","New Jersey",7.0,0.8,0.7,0.6,"(Z)",-
13,"d","New Mexico",52.0,8.6,8.6,0.9,31.5,0.7
13,"d","New York",23.0,3.4,0.8,"(Z)",1.7,1.0
13,"d","North Carolina",23.9,2.8,3.5,-,"(Z)",1.0
13,"d","North Dakota",38.9,22.7,0.9,4.8,9.9,0.5
13,"d","",,,,,,
13,"d","Ohio",67.0,5.3,5.5,3.1,2.3,2.0
13,"d","Oklahoma",18.4,2.6,-,1.4,9.8,0.7
13,"d","Oregon",57.3,23.2,9.5,16.1,17.5,"(Z)"
13,"d","Pennsylvania",19.0,3.3,0.6,"(Z)",1.1,2.1
13,"d","South Carolina",30.0,29.2,-,12.8,1.2,0.9
13,"d","South Dakota",47.4,31.6,-,2.6,13.9,1.4
13,"d","Tennessee",30.9,23.7,1.0,"(Z)",24.4,1.7
13,"d","Texas",37.2,28.6,"(Z)",0.6,5.1,0.9
13,"d","Utah",40.1,0.8,6.9,7.9,23.8,8.3
13,"d","Vermont",21.2,1.5,-,0.7,1.3,"(Z)"
13,"d","",,,,,,
13,"d","Virginia",30.8,21.7,0.9,0.6,18.1,1.7
13,"d","Washington",50.8,7.3,4.3,3.4,14.2,1.6
13,"d","West Virginia",13.1,7.4,3.6,-,1.0,0.9
13,"d","Wisconsin",26.9,14.6,4.9,11.8,9.6,6.0
13,"d","Wyoming",12.6,2.5,5.1,-,3.0,1.0
13,"d","",,,,,,
13,"d","Other States 4/",57.3,45.8,4.8,1.6,5.6,1.6
13,"d","",,,,,,
13,"d","United States",47.5,21.8,4.0,6.8,15.9,3.5
13,"c",""
13,"f","-  Represents zero."
13,"f","(Z)  Less than half of the unit shown."
13,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
13,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
13,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
13,"f","4/ Includes data for States not published in this table."
9,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
9,"t","Colony Health Stressors with Five or More Colonies – States and United States: July-September 2022"
9,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
9,"h","","","","","","",""
9,"h","","Varroa","Other pests","","","",""
9,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
9,"h","","","","","","",""
9,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
9,"d","Alabama",70.7,25.7,0.5,4.2,5.5,4.0
9,"d","Arizona",6.4,0.9,1.1,4.5,2.2,3.8
9,"d","Arkansas",25.1,12.6,"(Z)",13.0,7.0,4.8
9,"d","California",30.4,7.2,4.3,6.2,9.8,7.9
9,"d","Colorado",14.4,-,"(Z)",-,2.2,5.4
9,"d","Connecticut",9.4,3.3,0.5,1.0,4.6,"(Z)"
9,"d","Florida",56.5,30.8,1.7,13.9,14.2,16.6
9,"d","Georgia",49.4,21.4,7.0,5.6,16.3,10.1
9,"d","Idaho",44.0,4.9,5.0,9.8,9.5,3.7
9,"d","",,,,,,
9,"d","Illinois",37.4,20.1,0.7,11.8,1.4,10.0
9,"d","Indiana",49.8,4.7,"(Z)",41.2,2.9,2.3
9,"d","Iowa",5.1,3.1,2.4,2.1,2.4,2.1
9,"d","Kansas",50.6,7.3,2.7,30.8,2.4,17.3
9,"d","Kentucky",26.1,17.2,-,-,17.5,22.3
9,"d","Louisiana",51.9,17.0,0.9,"(Z)",1.9,3.9
9,"d","Maine",60.2,1.0,51.8,51.8,"(Z)","(Z)"
9,"d","Maryland",61.9,36.1,4.6,4.5,3.4,3.1
9,"d","Massachusetts",20.8,4.9,1.5,"(Z)",7.5,"(Z)"
9,"d","Michigan",25.4,2.8,2.1,4.6,3.5,1.7
9,"d","",,,,,,
9,"d","Minnesota",10.7,1.4,"(Z)",10.7,4.1,2.3
9,"d","Mississippi",56.1,14.6,0.9,3.6,12.2,9.5
9,"d","Missouri",20.4,13.1,"(Z)",0.8,14.7,"(Z)"
9,"d","Montana",22.1,"(Z)","(Z)",3.0,7.5,0.7
9,"d","Nebraska",18.3,"(Z)",3.8,1.7,7.5,"(Z)"
9,"d","New Jersey",15.4,10.1,"(Z)","(Z)",0.7,7.7
9,"d","New Mexico",7.3,1.1,-,1.3,2.4,1.1
9,"d","New York",57.3,13.8,9.3,21.1,16.7,7.8
9,"d","North Carolina",35.8,26.1,1.5,1.4,0.9,1.1
9,"d","North Dakota",56.1,12.7,4.2,17.1,7.3,0.9
9,"d","",,,,,,
9,"d","Ohio",41.9,16.8,"(Z)",10.1,6.3,2.4
9,"d","Oklahoma",27.1,1.5,0.6,10.0,8.1,1.6
9,"d","Oregon",32.0,10.0,6.1,4.3,12.7,0.5
9,"d","Pennsylvania",25.8,4.6,0.6,1.7,3.7,0.8
9,"d","South Carolina",34.9,24.7,5.6,6.7,7.1,5.6
9,"d","South Dakota",24.7,3.4,"(Z)",16.8,18.1,0.5
9,"d","Tennessee",27.3,20.5,10.3,8.5,11.3,10.8
9,"d","Texas",12.4,11.6,"(Z)",5.9,5.5,1.6
9,"d","Utah",26.7,18.5,3.4,17.6,2.6,4.0
9,"d","Vermont",32.4,1.0,0.7,-,2.1,0.6
9,"d","",,,,,,
9,"d","Virginia",34.5,13.9,0.6,2.3,1.6,7.2
9,"d","Washington",11.1,"(Z)","(Z)",-,"(Z)",0.7
9,"d","West Virginia",14.8,9.2,3.8,3.4,"(Z)",2.1
9,"d","Wisconsin",20.4,7.9,7.2,6.7,5.0,6.9
9,"d","Wyoming",14.1,4.4,4.9,4.9,1.5,"(Z)"
9,"d","",,,,,,
9,"d","Other States 4/",22.5,4.5,2.1,5.3,4.4,2.2
9,"d","",,,,,,
9,"d","United States",37.3,11.4,3.4,10.0,9.3,5.2
9,"c",""
9,"f","-  Represents zero."
9,"f","(Z)  Less than half of the unit shown."
9,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
9,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
9,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
9,"f","4/ Includes data for States not published in this table."
10,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
10,"t","Colony Health Stressors with Five or More Colonies – States and United States: October-December 2022"
10,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
10,"h","","","","","","",""
10,"h","","Varroa","Other pests","","","",""
10,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
10,"h","","","","","","",""
10,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
10,"d","Alabama",23.1,9.7,-,0.6,5.6,6.7
10,"d","Arizona",17.9,0.5,0.9,-,3.1,1.8
10,"d","Arkansas",9.9,2.7,"(Z)","(Z)","(Z)",0.6
10,"d","California",48.6,24.8,18.8,19.0,27.1,3.4
10,"d","Colorado",5.3,"(Z)","(Z)","(Z)","(Z)",4.5
10,"d","Connecticut",12.8,2.3,"(Z)",0.7,1.2,0.6
10,"d","Florida",33.2,14.7,3.5,14.2,7.8,7.0
10,"d","Georgia",33.5,11.5,3.3,3.7,8.5,2.1
10,"d","Idaho",17.8,2.8,2.2,4.1,2.0,10.8
10,"d","",,,,,,
10,"d","Illinois",25.2,9.0,0.3,4.2,2.3,8.9
10,"d","Indiana",43.1,23.4,18.2,20.7,17.1,14.8
10,"d","Iowa",6.7,1.3,0.9,2.3,1.4,2.9
10,"d","Kansas",70.0,2.7,-,0.8,30.1,1.8
10,"d","Kentucky",20.3,5.2,-,"(Z)",6.6,10.2
10,"d","Louisiana",18.5,9.1,1.2,2.1,5.2,0.9
10,"d","Maine",9.0,2.3,-,8.1,-,0.7
10,"d","Maryland",40.9,10.9,0.9,0.6,13.4,2.2
10,"d","Massachusetts",29.8,0.7,3.0,1.5,10.6,2.0
10,"d","Michigan",24.9,4.3,6.3,1.5,2.6,5.3
10,"d","",,,,,,
10,"d","Minnesota",9.1,"(Z)","(Z)",3.0,0.9,1.1
10,"d","Mississippi",13.0,1.7,0.5,5.0,5.4,4.7
10,"d","Missouri",12.5,8.8,-,-,2.2,1.0
10,"d","Montana",27.8,8.8,1.3,7.3,0.7,-
10,"d","Nebraska",31.4,12.9,10.9,"(Z)",-,7.4
10,"d","New Jersey",15.0,6.1,"(Z)","(Z)",0.5,4.1
10,"d","New Mexico",20.3,5.0,4.8,1.6,1.4,1.1
10,"d","New York",59.3,38.8,19.1,19.5,41.1,3.4
10,"d","North Carolina",13.5,6.4,3.1,3.6,3.7,"(Z)"
10,"d","North Dakota",35.6,12.2,1.6,4.3,0.9,2.5
10,"d","",,,,,,
10,"d","Ohio",15.2,8.2,"(Z)","(Z)",2.2,2.6
10,"d","Oklahoma",10.4,1.1,-,1.3,0.9,"(Z)"
10,"d","Oregon",63.4,25.5,19.8,15.8,3.3,1.7
10,"d","Pennsylvania",49.4,12.6,1.5,7.1,3.1,4.9
10,"d","South Carolina",23.6,2.4,-,0.5,4.9,1.4
10,"d","South Dakota",67.1,30.7,5.0,11.4,9.4,"(Z)"
10,"d","Tennessee",24.4,7.6,2.5,0.7,1.0,3.1
10,"d","Texas",14.0,12.8,4.3,4.3,3.8,3.0
10,"d","Utah",9.2,3.2,2.1,"(Z)","(Z)","(Z)"
10,"d","Vermont",12.0,3.2,1.1,0.6,-,-
10,"d","",,,,,,
10,"d","Virginia",43.3,20.9,"(Z)",-,6.4,3.9
10,"d","Washington",34.0,6.4,-,"(Z)",4.2,8.2
10,"d","West Virginia",33.4,3.8,0.8,-,6.4,0.5
10,"d","Wisconsin",23.2,21.4,19.4,17.5,9.9,11.7
10,"d","Wyoming",22.9,5.9,4.2,-,-,7.4
10,"d","",,,,,,
10,"d","Other States 4/",22.4,18.5,"(Z)","(Z)",-,0.7
10,"d","",,,,,,
10,"d","United States",44.3,19.8,10.3,12.4,14.2,4.7
10,"c",""
10,"f","-  Represents zero."
10,"f","(Z)  Less than half of the unit shown."
10,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
10,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
10,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
10,"f","4/ Includes data for States not published in this table."
12,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
12,"t","Colony Health Stressors with Five or More Colonies – States and United States: January-March 2023"
12,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
12,"h","","","","","","",""
12,"h","","Varroa","Other pests","","","",""
12,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
12,"h","","","","","","",""
12,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
12,"d","Alabama",31.9,18.3,0.7,1.5,9.9,8.3
12,"d","Arizona",72.9,-,-,"(Z)","(Z)",0.5
12,"d","Arkansas",62.2,51.4,5.3,24.7,2.0,5.9
12,"d","California",48.7,18.2,11.3,14.1,23.0,16.7
12,"d","Colorado",1.8,-,-,"(Z)",0.9,1.4
12,"d","Connecticut",10.8,1.8,-,0.1,2.8,7.2
12,"d","Florida",28.1,11.1,3.5,5.6,4.2,8.5
12,"d","Georgia",31.2,1.3,"(Z)",7.7,1.7,7.4
12,"d","Idaho",12.1,2.8,"(Z)",5.3,1.2,6.0
12,"d","",,,,,,
12,"d","Illinois",21.5,9.0,0.6,0.9,10.5,10.0
12,"d","Indiana",24.8,4.5,"(Z)",-,6.0,2.3
12,"d","Iowa",26.9,1.0,1.3,2.2,1.4,3.2
12,"d","Kansas",20.9,2.7,0.8,5.4,8.9,2.7
12,"d","Kentucky",16.6,5.9,0.6,1.7,3.2,9.4
12,"d","Louisiana",48.2,10.0,2.4,2.0,2.9,6.0
12,"d","Maine",16.8,-,-,1.5,0.8,2.5
12,"d","Maryland",16.4,4.7,2.5,-,7.3,3.9
12,"d","Massachusetts",9.6,2.7,1.5,-,5.2,1.8
12,"d","Michigan",6.5,0.6,0.5,1.2,1.1,1.7
12,"d","",,,,,,
12,"d","Minnesota",9.2,"(Z)",0.8,"(Z)",1.3,1.4
12,"d","Mississippi",19.6,9.6,1.1,7.5,15.4,2.7
12,"d","Missouri",12.7,4.3,-,-,3.6,9.5
12,"d","Montana",0.6,-,-,"(Z)",-,"(Z)"
12,"d","Nebraska",8.2,"(Z)","(Z)",-,4.3,"(Z)"
12,"d","New Jersey",20.0,6.7,"(Z)",-,1.7,3.8
12,"d","New Mexico",84.2,"(Z)",64.8,1.0,0.9,1.4
12,"d","New York",33.5,10.3,22.6,1.4,3.9,4.9
12,"d","North Carolina",22.5,6.1,"(Z)","(Z)",4.5,2.5
12,"d","North Dakota",16.2,-,-,"(Z)",0.6,-
12,"d","",,,,,,
12,"d","Ohio",37.8,10.6,-,11.5,20.1,4.3
12,"d","Oklahoma",4.7,1.1,-,"(Z)",2.8,"(Z)"
12,"d","Oregon",28.7,13.1,6.0,"(Z)",11.4,2.0
12,"d","Pennsylvania",20.9,4.6,2.5,0.7,2.0,7.7
12,"d","South Carolina",32.2,7.3,-,"(Z)",10.4,7.4
12,"d","South Dakota",2.7,"Z","(Z)","(Z)",1.8,1.0
12,"d","Tennessee",39.8,5.5,0.9,1.0,7.0,4.9
12,"d","Texas",11.3,6.7,"(Z)",7.6,9.7,1.1
12,"d","Utah",32.4,19.4,19.0,19.0,2.8,2.0
12,"d","Vermont",3.1,"(Z)","(Z)","(Z)",-,1.6
12,"d","",,,,,,
12,"d","Virginia",22.6,10.5,"(Z)","(Z)",4.2,4.8
12,"d","Washington",12.1,2.4,2.3,2.5,6.4,4.5
12,"d","West Virginia",14.5,2.8,1.0,1.1,2.0,3.4
12,"d","Wisconsin",15.0,0.9,0.8,0.5,2.7,7.2
12,"d","Wyoming",1.4,-,-,-,1.4,"(Z)"
12,"d","",,,,,,
12,"d","Other States 4/",27.2,19.0,13.6,"(Z)",1.1,"(Z)"
12,"d","",,,,,,
12,"d","United States",39.7,13.6,7.4,10.1,14.8,11.2
12,"c",""
12,"f","-  Represents zero."
12,"f","(Z)  Less than half of the unit shown."
12,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
12,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
12,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
12,"f","4/ Includes data for States not published in this table."
23,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
23,"t","Colony Health Stressors with Five or More Colonies – States and United States: April-June 2023"
23,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
23,"h","","","","","","",""
23,"h","","Varroa","Other pests","","","",""
23,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
23,"h","","","","","","",""
23,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
23,"d","Alabama",37.1,10.4,2.1,1.0,4.4,9.1
23,"d","Arizona",15.4,"Z",2.1,-,0.7,"(Z)"
23,"d","Arkansas",22.4,13.1,2.8,7.4,1.9,3.1
23,"d","California",41.6,3.3,4.0,4.5,11.3,4.1
23,"d","Colorado",64.4,5.1,5.5,1.3,0.7,"(Z)"
23,"d","Connecticut",66.3,4.9,0.8,-,2.7,0.7
23,"d","Florida",49.5,21.8,7.1,18.2,15.1,7.7
23,"d","Georgia",30.2,12.2,2.4,3.9,9.8,7.1
23,"d","Idaho",40.9,6.7,5.9,5.7,1.3,1.4
23,"d","",,,,,,
23,"d","Illinois",25.6,13.3,3.2,6.8,6.7,3.7
23,"d","Indiana",23.8,5.6,1.6,7.4,18.3,3.0
23,"d","Iowa",17.9,2.6,4.5,9.9,5.1,"(Z)"
23,"d","Kansas",35.5,2.0,0.1,21.7,3.4,2.0
23,"d","Kentucky",8.0,2.9,1.0,1.3,0.5,5.6
23,"d","Louisiana",32.0,3.6,"(Z)",17.5,24.7,0.8
23,"d","Maine",10.6,"(Z)",3.9,4.7,"(Z)",-
23,"d","Maryland",11.7,0.6,"(Z)",-,0.5,4.5
23,"d","Massachusetts",28.2,"(Z)",0.7,"(Z)",10.6,1.6
23,"d","Michigan",16.5,1.7,1.8,2.1,3.3,10.3
23,"d","",,,,,,
23,"d","Minnesota",13.0,2.1,"(Z)",10.1,1.1,7.7
23,"d","Mississippi",12.6,3.5,1.0,3.2,9.1,2.4
23,"d","Missouri",13.1,6.4,0.8,0.5,4.8,3.4
23,"d","Montana",23.7,"(Z)",2.1,2.9,6.5,"(Z)"
23,"d","Nebraska",26.8,3.9,0.6,0.5,0.6,3.7
23,"d","New Jersey",13.2,3.6,0.8,"(Z)",2.5,1.1
23,"d","New Mexico",4.0,0.6,1.3,0.7,1.1,"(Z)"
23,"d","New York",24.7,9.1,2.2,2.3,9.3,"(Z)"
23,"d","North Carolina",28.8,8.8,0.9,"(Z)",1.6,2.5
23,"d","North Dakota",60.5,6.9,2.7,6.9,1.3,"(Z)"
23,"d","",,,,,,
23,"d","Ohio",65.3,33.5,0.7,5.7,1.0,4.4
23,"d","Oklahoma",4.0,0.9,-,-,0.7,"(Z)"
23,"d","Oregon",27.9,9.3,3.5,14.3,4.3,"(Z)"
23,"d","Pennsylvania",13.8,7.2,2.7,6.9,1.1,1.1
23,"d","South Carolina",32.2,5.7,0.7,"(Z)",15.8,2.7
23,"d","South Dakota",13.7,7.1,"(Z)",5.8,1.4,0.8
23,"d","Tennessee",13.3,1.5,-,"(Z)",2.8,1.8
23,"d","Texas",46.8,42.3,10.9,12.1,30.1,10.2
23,"d","Utah",55.0,33.6,25.5,28.0,28.6,"(Z)"
23,"d","Vermont",9.7,0.5,-,0.8,"(Z)",1.2
23,"d","",,,,,,
23,"d","Virginia",23.3,7.5,0.8,-,6.6,3.0
23,"d","Washington",41.6,1.0,6.1,9.2,4.3,"(Z)"
23,"d","West Virginia",31.1,3.2,1.8,-,1.8,0.8
23,"d","Wisconsin",67.2,9.8,47.8,49.2,48.1,46.8
23,"d","Wyoming",17.2,10.9,"Z",-,2.3,2.5
23,"d","",,,,,,
23,"d","Other States 4/",10.6,3.5,3.3,2.1,0.5,"(Z)"
23,"d","",,,,,,
23,"d","United States",50.9,13.9,6.5,10.5,13.6,6.0
23,"c",""
23,"f","-  Represents zero."
23,"f","(Z)  Less than half of the unit shown."
23,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
23,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
23,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
23,"f","4/ Includes data for States not published in this table."
3,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Colonies Lost with Colony Collapse Disorder Symptoms with Five or More Colonies – United States: 2022 and 2023"
3,"t","[Loss reported that met all of the following criteria: 1) Little to no build-up of dead bees in the hive or at the hive entrance 2) Rapid loss of adult honey bee population despite the presence of queen, capped brood, and food reserves 3) Absence or delayed robbing of the food reserves 4) Loss not attributable to varroa or nosema loads. Blank cells indicate estimation period has not yet begun]"
3,"h","","","","",""
3,"h","Year","January-March","April-June","July-September","October-December"
3,"h","","","","",""
3,"u","","(number)","(number)","(number)","(number)"
3,"d","2022",86070,51390,68620,93550
3,"d","2023",107630,54730
3,"c",""
